key,source,raw_name,inci_name,cas_number,derived_term,derived_variation,derived_physical_form,ingredient_category,definition_display_name,cluster_id,cluster_reason,cluster_size,cosing_items_in_cluster,tgsc_items_in_cluster,sources_in_cluster
6a0d5622fcd99fb6b8ee44275fb89810747673ff,cosing,HORDEUM VULGARE SEED EXTRACT,HORDEUM VULGARE SEED EXTRACT,85251-64-5,Hordeum vulgare,Seed Extract,Liquid,Herbs,Hordeum vulgare,term:hordeum vulgare seed,post_merge_term_cluster,2,2,0,cosing
7cba22a07b1831dae0da9b157733d77215d87378,cosing,HORDEUM VULGARE SEED FLOUR,HORDEUM VULGARE SEED FLOUR,85251-64-5,Hordeum vulgare,Flour,Powder,Grains,Hordeum vulgare,term:hordeum vulgare seed,post_merge_term_cluster,2,2,0,cosing
45655021819d2892797a0917f5716ab4f9a52f72,cosing,HYDROLYZED OAT FLOUR,HYDROLYZED OAT FLOUR,,Hydrolyzed oat,Hydrolyzed,Liquid,Grains,Hydrolyzed oat,term:hydrolyzed oat,post_merge_term_cluster,1,1,0,cosing
58b8b8a4fea5ec929afcb4a44f23c02cfb4b5e04,cosing,HYDROLYZED SOY,HYDROLYZED SOY,235433-33-7,Hydrolyzed soy,Hydrolyzed,Liquid,Herbs,Hydrolyzed soy,term:hydrolyzed soy,post_merge_term_cluster,1,1,0,cosing
21100624812eeee59b9465ac3600bd2b503e7202,cosing,HYDROLYZED SOY EXTRACT,HYDROLYZED SOY EXTRACT,,Hydrolyzed soy,Hydrolyzed,Liquid,Herbs,Hydrolyzed soy,term:hydrolyzed soy,post_merge_term_cluster,1,1,0,cosing
9fb744ed4765bfc595a29f220c749aa5cda2e6a2,cosing,HYDROLYZED SOY FLOUR,HYDROLYZED SOY FLOUR,,Hydrolyzed soy,Hydrolyzed,Liquid,Grains,Hydrolyzed soy,term:hydrolyzed soy,post_merge_term_cluster,1,1,0,cosing
80396368893422b3ca9cb22950245c12c21d0dde,cosing,HYDROLYZED SOY STARCH,HYDROLYZED SOY STARCH,68412-29-3,Hydrolyzed soy,Hydrolyzed,Liquid,Grains,Hydrolyzed soy,term:hydrolyzed soy,post_merge_term_cluster,1,1,0,cosing
ba0b7589a7605288e1659c05114290fe3e1f3474,cosing,HYDROLYZED WHEAT FLOUR,HYDROLYZED WHEAT FLOUR,,Hydrolyzed wheat,Hydrolyzed,Liquid,Grains,Hydrolyzed wheat,term:hydrolyzed wheat,post_merge_term_cluster,1,1,0,cosing
92c066b7ac4e226ff6400686f2cecfdc0a912cde,cosing,HYDROLYZED WHEAT STARCH,HYDROLYZED WHEAT STARCH,68412-29-3,Hydrolyzed wheat,Hydrolyzed,Liquid,Grains,Hydrolyzed wheat,term:hydrolyzed wheat,post_merge_term_cluster,1,1,0,cosing
7897292dd3c08a0c50d60844c1b8cf947ec211ac,cosing,LINUM USITATISSIMUM SEED EXTRACT,LINUM USITATISSIMUM SEED EXTRACT,8001-26-1,Linum usitatissimum,Seed Extract,Liquid,Herbs,Linseed,term:linum usitatissimum seed,post_merge_term_cluster,1,1,0,cosing
84d733c295ae6f8a6ace811f6ac08bb38525c069,cosing,LINUM USITATISSIMUM SEED FLOUR,LINUM USITATISSIMUM SEED FLOUR,8001-26-1,Linum usitatissimum,Flour,Powder,Grains,Linseed,term:linum usitatissimum seed,post_merge_term_cluster,1,1,0,cosing
cceac24db9b347aeb7b0865ac8aa9dd917caa7ca,cosing,LINUM USITATISSIMUM SEED OIL,LINUM USITATISSIMUM SEED OIL,8001-26-1,Linum usitatissimum,Seed Oil,Oil,Seeds,Linseed,term:linum usitatissimum seed,post_merge_term_cluster,1,1,0,cosing
7bbb493e10b607c3db04594d8c8cfe9ccc739be5,cosing,LINUM USITATISSIMUM SEED POWDER,LINUM USITATISSIMUM SEED POWDER,8001-26-1,Linum usitatissimum,Seed Powder,Powder,Herbs,Linseed,term:linum usitatissimum seed,post_merge_term_cluster,1,1,0,cosing
9e415033a8fda1a695570d38683aa0f86886bcca,cosing,MALT FLOUR,MALT FLOUR,,Malt Flour,Flour,Powder,Grains,Malt Flour,term:malt flour,post_merge_term_cluster,1,1,0,cosing
17ae899cc67af8270d2537dcc00d4ff3cb6a07e5,tgsc,"oat flour,",,134134-86-4,Oat Flour,Flour,Powder,Grains,Oat Flour,term:oat flour,post_merge_term_cluster,1,0,1,tgsc
b5dccfb81634669ace2fc375ed9abc772d32e236,cosing,PANICUM MILIACEUM EXTRACT,PANICUM MILIACEUM EXTRACT,90082-36-3,Panicum miliaceum,Extract,Liquid,Herbs,Panicum Miliaceum Seed,term:panicum miliaceum,post_merge_term_cluster,1,1,0,cosing
d6bb488c42d9f6457b27ac53d6d85c7291fa7ab6,cosing,PANICUM MILIACEUM SEED EXTRACT,PANICUM MILIACEUM SEED EXTRACT,90082-36-3,Panicum miliaceum,Seed Extract,Liquid,Herbs,Panicum Miliaceum Seed,term:panicum miliaceum,post_merge_term_cluster,1,1,0,cosing
b3c688e6b67c19414ee3a2a46fcdd962add10750,cosing,PANICUM MILIACEUM SEED FLOUR,PANICUM MILIACEUM SEED FLOUR,90082-36-3,Panicum miliaceum,Flour,Powder,Grains,Panicum Miliaceum Seed,term:panicum miliaceum,post_merge_term_cluster,1,1,0,cosing
6c72abb0ef9dd03843b6ef52f7dd74c770e334a3,cosing,PANICUM MILIACEUM SEED OIL,PANICUM MILIACEUM SEED OIL,90082-36-3,Panicum miliaceum,Seed Oil,Oil,Seeds,Panicum Miliaceum Seed,term:panicum miliaceum,post_merge_term_cluster,1,1,0,cosing
246642ca72f4f409383e698b1b604592745342a5,tgsc,"panicum miliaceum seed oil CO2 extract,",,90082-36-3,Panicum miliaceum,CO2 Extract,Liquid,Seeds,Panicum Miliaceum Seed,term:panicum miliaceum,post_merge_term_cluster,1,1,0,cosing
eae393079a9b4b02777360c29b895d90596a25cc,tgsc,"panicum miliaceum seed oil,",,90082-36-3,Panicum miliaceum,Seed Oil,Oil,Seeds,Panicum Miliaceum Seed,term:panicum miliaceum,post_merge_term_cluster,1,1,0,cosing
59cda9521f6900a444df37c9847d3302a6855169,tgsc,"peanut flour,",,8002-03-7,Peanut Flour,Flour,Powder,Grains,Peanut,term:peanut flour,post_merge_term_cluster,1,0,1,tgsc
d68a28950077f580cd022a8e94d33f1e527fdd46,cosing,POLYGONUM FAGOPYRUM CALLUS CULTURE EXTRACT,POLYGONUM FAGOPYRUM CALLUS CULTURE EXTRACT,89958-09-8,Polygonum fagopyrum,Callus Culture,Liquid,Fermentation - Other,Polygonum fagopyrum,term:polygonum fagopyrum,post_merge_term_cluster,1,1,0,cosing
93db8239e4f9f93437b5600fc8d6615fc5d0d553,cosing,POLYGONUM FAGOPYRUM FLOUR,POLYGONUM FAGOPYRUM FLOUR,89958-09-8,Polygonum fagopyrum,Flour,Powder,Synthetic - Polymers,Polygonum fagopyrum,term:polygonum fagopyrum,post_merge_term_cluster,1,1,0,cosing
